FILE,ISSUES,BUGS,SUPPORT_BUGS,P1,P2,P3,P4,MAX_COMPLEXITY,HAL_VOLUME,COVERAGE,LINES,LINES_COVERED
"c98791283648dd319b2ea951fffa0e0c297a975b526574894176d576.py",103,98,87,0,8,5,85,-1,0,0.0,10,0
"b7bdc8454fbcbaf0dd68d7263d0b03c322ac42e8b347b0c4ef9ef6e6.py",16,9,2,0,9,0,0,9,411.03957502414517,0.1965,173,34
"c8c1129e6eca2d872a79c1785aeb0806678303850edade0d2e5c92b4.py",5,4,2,0,2,1,1,8,215.90318620677482,0.3913,69,27
"126b2329e54776dde40256d0db5bfb8acf7bf71462a56085a82e2c45.py",13,6,3,1,3,1,1,6,4.754887502163469,0.7791,86,67
"2f003e8f2f90d64008e91218f2082aba606a7bf1b273b1cecbdeae63.py",12,5,3,0,5,0,0,14,486.21242259558846,0.7871,202,159
"387accc16241f0910685d11410df78ed26adf7de122b985fe95dbba4.py",21,11,4,2,8,1,0,17,741.6774618257454,0.8511,235,200
"77e263eb5a46cac13486d9a93ed0773ca1e2e4a3d67f7dece07f8243.py",3,3,2,0,1,1,1,4,58.60335893412778,0.9375,32,30
"fd14ec4d6e2ed111cb4e38c34a566da0e899b8c11768ecc8f77ef032.py",3,1,0,1,0,0,0,2,0,0.3333,30,10
"97fc2fcb76828df2b5de368e31d75dcd4ecc0985ddd85b1594c58244.py",2,0,0,0,0,0,0,32,724.4080781087905,0.1346,156,21
"be8f6e9d975c12f207d8db7b72b36ac19da7c5c5e37a8f905afec66b.py",7,1,0,0,0,1,0,6,46.50699332842308,0.949,98,93
"f90d798e57880cdda4de564e95098eacbe62109d04f552fcc8ee945a.py",76,50,20,9,28,10,3,69,3994.8066500477457,0.662,710,470
"7975163a42379e0b0c1342a58bb3ae9dfbd69525e2dc7832ac5e1abd.py",2,0,0,0,0,0,0,9,157.89111045234063,0.9688,128,124
"48264526e6eaeed3bf607cceb664d6e96510914787f234f64429b899.py",5,4,1,0,2,2,0,16,1530.5723306355542,0.2433,337,82
"f4e0652360993f0890c7ea581e676a89af91daba8b13932d720ff554.py",3,1,1,0,1,0,0,34,1701.4269163809183,0.5743,350,201
"be55957b27a53811604705b4e8e03c93074bbaf02e9b2400033bff5e.py",50,23,14,5,10,6,2,65,16456.206057195177,0.486,1891,919
"44699da1350371008aaebfb5320cfb3bdc295e749b4207b1f0456a07.py",2,1,0,0,1,0,0,-1,-1,0.5714,35,20
"2db9225bac833bb819b211fb96a02bdf2e44b2c9ff21fdd8432086aa.py",5,3,3,0,1,2,0,3,39.863137138648355,0.32,25,8
"af2c97ec71bb429bc2807b62b684b123a466a17f7cba635948037d80.py",24,13,5,3,6,3,1,100,4863.231846083066,0.3312,613,203
"b229423ea1ac389746e1b471a9b3bfe09e8575fec2f782c441d272c8.py",2,0,0,0,0,0,0,2,4.754887502163469,0.0,17,0
"98cfe58472a2bf868bb8ba359ca3dff2b0a02cd8131bf5ee1ec173a8.py",7,1,1,0,0,1,0,6,34.86917501586544,0.02222,45,1
"45dad19f4da351669c8a5d882e7dbb5312f3edc0bc7a40e45cd9eab2.py",32,12,2,1,7,4,0,2,36.541209043760986,0.4695,164,77
"fc37c46e03cc1178f1cfed546d0340bf30473df1df80be0b72855378.py",13,3,2,1,1,1,0,17,2089.311310262666,0.2959,419,124
"ab35a8d2833fac504d21a3151b1cd0f3b0131055ea5c4aef11d38051.py",2,0,0,0,0,0,0,-1,-1,0.2222,45,10
"7403142a688761acd0bf97c0440b9baa27e6be28113f98edc78e1316.py",6,2,0,1,0,1,0,4,88,0.0,34,0
"188d321e172ad23e6cc62a3737e8dcd5f1c38cc5ebe708d13d679b08.py",1,0,0,0,0,0,0,-1,-1,0.0,0,0
"327e517dd76e8bd068a91c8743851b899fdcbab40aafd127e70ee6ab.py",1,0,0,0,0,0,0,-1,-1,0.0,0,0
"62c20a30677b4363168d892a525a96137577dadc2da5757995501327.py",8,1,0,0,1,0,0,12,15.509775004326936,0.3684,38,14
"63725cc2edd36bd65ab690fd1cb012fc4f64491f65bef3282acb7932.py",13,3,1,0,3,0,0,15,173.91626957122043,0.6024,166,100
"e5addcceb8fe5c4d4acbc4bbf7ef004a2affe5f2b061a9b0bb90d9ec.py",24,13,4,0,6,4,3,26,1526.2752651388787,0.2259,509,115
"6b36e71aeeda34f33eba3dfe7f1fa3b041c2423fa8d599b9af48cc03.py",2,0,0,0,0,0,0,5,77.70923408096293,0.3125,48,15
"90f1ce854daf0217d80659a491a44b8983a312ce7eb3fa67623e3bae.py",6,1,0,0,1,0,0,5,72.33974351909447,0.01449,69,1
"e00b959ce5a6da0abdde598e24b3a33703aa09a18b32c9aaddf2ce39.py",14,2,0,0,1,1,0,6,171.1759500778849,0.2316,95,22
"b9bcdd5c85fe3323635ca3803e67765c5cae1b91d55b09d34c519b68.py",16,7,3,0,3,3,1,5,77.70923408096293,0.6471,85,55
"f8229dcb12d8bb87457d970b9ebf75f06865649f986b3da5368db759.py",6,4,1,0,2,2,0,13,34.86917501586544,0.2432,37,9
"ac0968c6ab48d896fa2351cc184bc2d6a9667fb0e0c44d2bf31eab1e.py",21,9,1,1,7,1,0,12,884.9421317533098,0.7187,327,235
"5a8e77f50f0086659ca7936bb98f2b6adb9c44c39d3220ccd462946e.py",15,8,1,1,5,2,0,14,2547.2452135345366,0.4794,436,209
"613d08e0c4094a3c4aabe2517dad008b5752e8875d4d6006684e70be.py",1,1,0,0,0,1,0,18,1043.094082240582,0.2741,394,108
"8a0bee9c38083f57d66e822d2f994a00c5a675719c1ccacc238bf7ee.py",1,0,0,0,0,0,0,-1,-1,0.0,0,0
"2e943ffcec656444121ec71021386a0e2a38cc043fa201a0f0080cb7.py",4,3,3,1,2,0,0,31,267.5266007608913,0.6923,91,63
"fda11b112b736040e2addf31467007396d993dda4dec2b6350f1026e.py",9,5,4,0,3,2,0,14,578.8752783696349,0.3628,215,78
"48836549d646ec89a419f61ef988dba89381958e993f1767357b9b6b.py",13,7,4,0,5,2,0,30,2908.3446053839666,0.7407,428,317
"1711227c79581a617fcbff246466bb817b729cbc3ab7a8acb2d88fe9.py",1,0,0,0,0,0,0,-1,0,1.0,0,0
"6be08867dbff7079639e9d056b0d787658b1b45af3fbce69a1b208f9.py",1,0,0,0,0,0,0,2,55.506595772116384,0.9636,55,53
"a21f6d6513152498c893f0fc5dca5d73eb8332c701c30c5df2039136.py",1,0,0,0,0,0,0,2,11.60964047443681,1.0,15,15
"f92140de0419fb69819fe4022dda93e9f38339dac0dd5a8bc13ee70f.py",1,0,0,0,0,0,0,-1,0,0.7857,14,11
"f2d3d658a7f4d64cae3fe4d1c3bf694b5ebf446add7ece108f48fdd0.py",1,0,0,0,0,0,0,6,133.78294855911892,0.0,121,0
"574b5cecfbbf418be38e54ce0c487e0df025dee7c614faa994d72cf2.py",13,7,3,2,2,3,0,21,1575.1716940912456,0.6728,327,220
"4884ad12d934adce7afd957f2a258abea6b27802a4d52035485569e9.py",3,0,0,0,0,0,0,1,0,1.0,11,11
"8a7d7fa9597faf0ad0451b01eebd24d5ba6e6825f4008e7a69b7a375.py",3,0,0,0,0,0,0,2,0,0.814,43,35
"6df1142517b5d18b83833bb89361f5292a01184f491c37643a376241.py",1,0,0,0,0,0,0,-1,-1,0.0,0,0
